epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,34.0732,1.49479,2.92728,2.37468,1.57766,0.8379,0.04563,0.07323,0.04185,0.74486,0.01865,0.03835,0.02109,1.68504,4.34776,3.32467,1.78691,0.000289851,0.000289851,0.000289851
32,35.1182,1.46092,2.92882,2.32459,1.54788,0.83567,0.04767,0.08176,0.04789,0.7473,0.02057,0.04532,0.02419,1.68836,4.29932,3.27329,1.77839,0.000297562,0.000297562,0.000297562
33,36.1561,1.4547,2.81647,2.21292,1.50813,0.7515,0.05133,0.08498,0.05222,0.67302,0.02424,0.05075,0.02475,1.74755,4.37806,3.21661,1.81565,0.000305164,0.000305164,0.000305164
34,37.1811,1.43646,2.88793,2.17745,1.47018,0.73498,0.05571,0.08791,0.05079,0.66493,0.03,0.05094,0.02435,1.80354,4.47319,3.16104,1.85031,0.000309561,0.000309561,0.000309561
35,38.2456,1.4264,2.74138,2.16764,1.48118,0.6606,0.06129,0.07821,0.0451,0.67228,0.03341,0.0463,0.02619,1.78633,4.46802,3.16639,1.80931,0.000307729,0.000307729,0.000307729
36,39.3278,1.42991,2.87501,2.13192,1.48508,0.66329,0.06401,0.07934,0.04482,0.59498,0.03341,0.03944,0.02685,1.80676,4.60548,3.16187,1.82004,0.000305897,0.000305897,0.000305897
37,40.3688,1.38556,2.76125,2.07681,1.48138,0.66715,0.06478,0.07977,0.04576,0.59686,0.03768,0.04042,0.02807,1.78246,4.5719,3.16527,1.8133,0.000304066,0.000304066,0.000304066
38,41.4478,1.40815,2.7218,2.11582,1.45358,0.75122,0.04924,0.07311,0.04363,0.587,0.03691,0.03899,0.02615,1.72853,4.42091,3.16433,1.79491,0.000302234,0.000302234,0.000302234
39,42.538,1.39503,2.6355,2.01793,1.44572,0.63957,0.05352,0.06479,0.0346,0.58856,0.03341,0.03857,0.02439,1.70593,4.40136,3.13807,1.79358,0.000300403,0.000300403,0.000300403
40,43.6325,1.4092,2.77238,2.00422,1.49355,0.54176,0.06906,0.06649,0.03486,0.50826,0.04545,0.04074,0.02543,1.74,4.4871,3.13602,1.80171,0.000298571,0.000298571,0.000298571
41,44.7716,1.38576,2.73185,1.95056,1.44972,0.54371,0.06556,0.06647,0.03419,0.51227,0.04545,0.04097,0.02401,1.79799,4.57273,3.18786,1.798,0.00029674,0.00029674,0.00029674
42,45.8626,1.40188,2.79676,2.00317,1.48469,0.54996,0.05779,0.06626,0.0315,0.51567,0.04539,0.04133,0.02218,1.89407,4.6493,3.13827,1.8353,0.000294908,0.000294908,0.000294908
43,46.9624,1.35711,2.7029,1.91316,1.4579,0.46475,0.05572,0.06298,0.02732,0.43242,0.03478,0.03801,0.01978,1.92602,4.67508,3.17916,1.85602,0.000293077,0.000293077,0.000293077
44,48.0224,1.34805,2.65664,1.94202,1.42672,0.44629,0.04827,0.0584,0.02892,0.43848,0.03677,0.03901,0.01823,1.91783,4.62864,3.20314,1.83836,0.000291245,0.000291245,0.000291245
45,49.1,1.32426,2.71755,1.89828,1.43127,0.52292,0.03963,0.05325,0.02825,0.67734,0.03613,0.03863,0.02092,1.90282,4.57148,3.19642,1.80404,0.000289414,0.000289414,0.000289414
46,50.1895,1.35932,2.67613,1.85351,1.45648,0.55434,0.05274,0.08198,0.04759,0.60357,0.03613,0.05744,0.02608,1.87584,4.56834,3.24535,1.76835,0.000287582,0.000287582,0.000287582
47,51.2893,1.32023,2.67154,1.83899,1.4047,0.5465,0.05324,0.06043,0.02941,0.52212,0.03263,0.03969,0.02095,1.88051,4.54865,3.22334,1.74468,0.000285751,0.000285751,0.000285751
48,52.3753,1.31019,2.64793,1.88031,1.45988,0.39397,0.05697,0.0616,0.02994,0.35864,0.03341,0.03809,0.02035,1.89978,4.61059,3.1334,1.77102,0.000283919,0.000283919,0.000283919
49,53.4741,1.27384,2.51323,1.78344,1.42294,0.3908,0.05333,0.06723,0.03246,0.42825,0.02914,0.0345,0.02032,1.93054,4.64866,3.0845,1.84469,0.000282088,0.000282088,0.000282088
50,54.5776,1.30032,2.58831,1.70875,1.39683,0.53408,0.04924,0.0732,0.03664,0.50322,0.02914,0.03512,0.02134,1.89618,4.54499,3.05159,1.81973,0.000280257,0.000280257,0.000280257
51,55.678,1.2791,2.57226,1.7352,1.40031,0.30403,0.0536,0.07685,0.03853,0.26722,0.03263,0.0341,0.02102,1.845,4.48161,3.05584,1.80767,0.000278425,0.000278425,0.000278425
52,56.749,1.2303,2.43148,1.58594,1.3528,0.3983,0.07974,0.07261,0.03894,0.34076,0.03691,0.03862,0.02042,1.83985,4.53681,3.10747,1.83261,0.000276594,0.000276594,0.000276594
53,57.9599,1.28942,2.64475,1.66084,1.38956,0.51938,0.06777,0.07516,0.03951,0.34269,0.03557,0.03863,0.0204,1.84852,4.63347,3.16053,1.82878,0.000274762,0.000274762,0.000274762
54,59.0285,1.2617,2.46223,1.69083,1.38714,0.5972,0.0664,0.12889,0.06718,0.08329,0.29157,0.09104,0.04311,1.84986,4.61983,3.10188,1.87244,0.000272931,0.000272931,0.000272931
55,60.1297,1.24804,2.43434,1.57844,1.3842,0.59243,0.07974,0.11718,0.0594,0.43555,0.04146,0.08475,0.03964,1.85285,4.64196,3.06033,1.88632,0.000271099,0.000271099,0.000271099
56,61.2868,1.23719,2.5055,1.59951,1.33128,0.57885,0.09148,0.11742,0.05851,0.52686,0.03997,0.08276,0.03903,1.88891,4.63711,3.03516,1.88561,0.000269268,0.000269268,0.000269268
57,62.3993,1.2812,2.51904,1.62912,1.36807,0.56668,0.09979,0.1162,0.05886,0.53139,0.03691,0.08049,0.03649,1.90326,4.65221,3.01398,1.9026,0.000267436,0.000267436,0.000267436
